,"URL describes","URL type","Modification date",URL
"RDiff/URL 2",RDiff,,"2 May 2013 00:33:55",http://bioweb.me/rdiff
"RDiff/URL 3",RDiff,Homepage,"2 May 2013 00:35:00",http://bioweb.me/rdiff
"REAL/URL 0",REAL,Homepage,"9 August 2011 08:48:34",http://www.dcs.kcl.ac.uk/pg/real/
"RECOUNT/URL 0",RECOUNT,Homepage,"12 February 2010 07:45:28",http://seq.cbrc.jp/recount/
"RGA/URL 0",RGA,Homepage,"26 April 2010 18:07:57",http://rga.cgrb.oregonstate.edu/
"RMAP/URL 0",RMAP,Homepage,"21 September 2009 09:52:20",http://rulai.cshl.edu/rmap
"RNA-MATE/URL 0",RNA-MATE,Homepage,"3 September 2009 18:15:55",http://grimmond.imb.uq.edu.au/RNA-MATE/
"RNA/URL 0",RNA,"Source code","17 May 2011 13:32:57",http://iga-rna.sourceforge.net/
"RNASEQR/URL 0",RNASEQR,Homepage,"6 August 2012 17:38:44",http://hood.systemsbiology.net/rnaseqr.php
"RSAT peak-motifs/URL 0","RSAT peak-motifs","Analysis server","15 October 2011 05:04:04",http://rsat.ulb.ac.be/rsat/
"RSEM/URL 0",RSEM,"Source code","19 December 2009 05:00:20",http://deweylab.biostat.wisc.edu/rsem
"RSEQtools/URL 0",RSEQtools,Homepage,"22 October 2010 13:36:44",http://rseqtools.gersteinlab.org/
"RSEQtools/URL 1",RSEQtools,Manual,"11 January 2011 15:31:31",http://info.gersteinlab.org/RSEQtools
"RTG Investigator/URL 0",RTG,Homepage,"21 June 2011 05:41:40",http://www.realtimegenomics.com
"RTG Investigator/URL 1",RTG,"White Paper","30 June 2011 00:04:10",http://www.realtimegenomics.com/uploads/file/RTG_VariantDetection_White_Paper_2011.pdf
"RTG Investigator/URL 2","RTG News",HOWTO,"23 December 2014 07:12:46",http://www.realtimegenomics.com/news
"RUbioSeq/URL 0",RUbioSeq,Homepage,"3 May 2013 15:41:30",http://rubioseq.sourceforge.net/
"RUbioSeq/URL 1",RUbioSeq,Homepage,"3 May 2013 15:42:37",http://rubioseq.sourceforge.net/
"RUbioSeq/URL 2",RUbioSeq,Homepage,"3 May 2013 15:42:39",http://rubioseq.sourceforge.net/
"RUbioSeq/URL 3",RUbioSeq,"Publication full text","3 May 2013 15:56:30",http://bioinformatics.oxfordjournals.org/content/early/2013/04/28/bioinformatics.btt203.long
"Ray/URL 0",Ray,Homepage,"5 September 2011 09:07:13",http://denovoassembler.sourceforge.net/download.html
"RazerS - Official Homepage/URL 0","RazerS - Official Homepage",,"31 October 2009 18:39:02",http://www.seqan.de/projects/razers.html
"RazerS/URL 0",RazerS,Homepage,"31 October 2009 18:40:38",http://www.seqan.de/projects/razers.html
"ReSeqSim/URL 0",ReSeqSim,Homepage,"15 October 2009 19:45:01",http://archive.gersteinlab.org/proj/ReSeqSim/
"ReadDepth/URL 0",ReadDepth,"Source code","3 February 2011 15:56:17",http://code.google.com/p/readdepth/.
"Readaligner/URL 0",Readaligner,Homepage,"25 June 2010 12:59:51",http://www.cs.helsinki.fi/group/suds/readaligner/
"Reaper/URL 0",Reaper,Manual,"12 November 2012 11:10:07",http://www.ebi.ac.uk/%7Estijn/reaper/reaper.html
"Reaper/URL 1",Reaper,"Source code","12 November 2012 11:10:56",http://www.ebi.ac.uk/%7Estijn/reaper/src/
"Reconciliator/URL 0",Reconciliator,Homepage,"21 September 2009 07:46:41",http://www.genome.umd.edu/
"RefCov/URL 0",RefCov,Homepage,"3 September 2009 19:55:03",http://genome.wustl.edu/tools/cancer-genomics
"RefCov/URL 1",RefCov,Manual,"15 September 2011 17:48:06",http://genome.wustl.edu/pub/software/cancer-genomics/RefCov/MANUAL_refcov.pdf
"Repitools/URL 0",Repitools,Homepage,"19 September 2011 03:37:57",http://www.bioconductor.org/packages/devel/bioc/html/Repitools.html
"Repitools/URL 1",Repitools,Manual,"19 September 2011 03:37:19",http://www.bioconductor.org/packages/2.9/bioc/vignettes/Repitools/inst/doc/Repitools_vignette.pdf
"Reptile/URL 0",Reptile,Homepage,"14 August 2010 14:42:52",http://aluru-sun.ece.iastate.edu/doku.php?id=reptile
"RiboPicker/URL 0",RiboPicker,Homepage,"21 February 2012 03:15:01",http://ribopicker.sourceforge.net
"RiboPicker/URL 1",RiboPicker,"Analysis server","21 February 2012 03:15:26",http://edwards.sdsu.edu/ribopicker
"RobiNA/URL 0",RobiNA,Homepage,"15 January 2012 16:35:13",http://mapman.gabipd.org/web/guest/robin
"Rsolid/URL 0",Rsolid,Homepage,"8 May 2010 20:57:51",http://rafalab.jhsph.edu/Rsolid/
"Rsubread/URL 0",Rsubread,Homepage,"23 April 2013 11:59:57",http://bioconductor.org/packages/release/bioc/html/Rsubread.html
"S-MART/URL 0",S-MART,Homepage,"28 October 2011 09:59:27",http://urgi.versailles.inra.fr/Tools/S-MART
"SAM/URL 0",SAM,Description,"5 May 2010 13:01:12",http://samtools.sourceforge.net/SAM1.pdf
"SAMMate/URL 0",SAMMate,"Source code","10 May 2010 15:32:59",http://sourceforge.net/search/?type_of_search=soft&words=SAMMATE
"SAMMate/URL 1",SAMMate,Homepage,"25 January 2011 16:54:30",http://sammate.sourceforge.net/
"SAMMate/URL 2",SAMMate,"Publication full text","25 January 2011 16:56:20",http://www.scfbm.org/content/6/1/2
"SAMStat/URL 0",SAMStat,,"5 October 2010 07:54:07",http://samstat.sourceforge.net/
"SAMtools/URL 0",SAMtools,Homepage,"2 September 2009 19:57:24",http://samtools.sourceforge.net
"SAMtools/URL 1",SAMtools,Description,"25 February 2010 09:50:37",http://www.bcgsc.ca/platform/bioinfo/software/sam
"SAMtools/URL 2",SAMtools,Manual,"16 November 2010 14:51:38",http://samtools.sourceforge.net/samtools.shtml
"SCALCE/URL 0",SCALCE,Homepage,"8 December 2011 01:02:41",http://scalce.sourceforge.net
"SCARF/URL 0",SCARF,Homepage,"3 September 2009 18:20:14",http://msbarker.com/software.htm
"SCF/URL 0",SCF,Manual,"25 February 2010 14:51:19",http://staden.sourceforge.net/manual/manpages_unix_toc.html
"SEAL/URL 0",SEAL,Homepage,"20 September 2011 11:05:12",http://biodoop-seal.sourceforge.net/
"SEECER/URL 0",SEECER,Homepage,"3 May 2013 20:19:06",http://sb.cs.cmu.edu/seecer/
"SEECER/URL 1",SEECER,"Mailing list","3 May 2013 20:26:07",http://sb.cs.cmu.edu/seecer/forum.html
"SEECER/URL 2",SEECER,"Mailing list","3 May 2013 20:26:57",http://sb.cs.cmu.edu/seecer/forum.html
"SEED/URL 0",SEED,Homepage,"5 August 2011 19:09:08",http://manuals.bioinformatics.ucr.edu/home/seed
"SESAME/URL 0",SESAME,Homepage,"15 September 2011 13:23:06",http://www1.montpellier.inra.fr/CBGP/NGS/index.php?option=com_content&view=article&id=2&Itemid=8
"SEWAL/URL 0",SEWAL,"Source code","7 August 2010 11:24:35",http://sourceforge.net/projects/sewal/
"SGA/URL 0",SGA,"Source code","5 October 2011 13:48:49",https://github.com/jts/sga
"SGA/URL 1",SGA,Description,"29 November 2012 17:25:53",http://www.homolog.us/blogs/2012/02/11/string-graph-assembler/
"SHARCGS/URL 0",SHARCGS,Homepage,"21 September 2009 09:18:01",http://sharcgs.molgen.mpg.de/
"SHOREmap/URL 0",SHOREmap,Homepage,"13 November 2011 16:05:26",http://1001genomes.org/software/shoremap.html
"SHOREmap/URL 1",SHOREmap,Manual,"13 November 2011 16:06:58",http://1001genomes.org/data/software/shoremap/shoremap_1.1/SHOREmap-README.pdf
"SHOREmap/URL 2",SHOREmap,"Publication full text","13 November 2011 16:09:42",http://www.nature.com/nmeth/journal/v6/n8/full/nmeth0809-550.html
"SHORTY/URL 0",SHORTY,Homepage,"21 September 2009 09:19:16",http://www.cs.sunysb.edu/%7Eskiena/shorty/
"SHREC/URL 0",SHREC,"Source code","15 September 2011 07:53:12",http://sourceforge.net/projects/shrec-ec/
"SHRiMP/URL 0",SHRiMP,Homepage,"21 September 2009 09:59:50",http://compbio.cs.toronto.edu/shrimp
"SICER/URL 0",SICER,Homepage,"21 September 2009 11:16:09",http://home.gwu.edu/%7Ewpeng/Software.htm
"SLOPE/URL 0",SLOPE,Homepage,"29 September 2010 12:51:10",http://www-genepi.med.utah.edu/suppl/SLOPE/index.html
"SNIP-Seq/URL 0",SNIP-Seq,"Source code","2 November 2010 19:27:21",http://polymorphism.scripps.edu/%7Evbansal/software/SNIP-Seq/
"SNP-o-matic/URL 0",SNP-o-matic,Homepage,"9 June 2010 10:42:04",http://snpomatic.sourceforge.net/
"SNPSeeker/URL 0",SNPSeeker,"Source code","16 September 2011 09:53:09",http://www.nature.com/nmeth/journal/v6/n4/extref/nmeth.1307-S2.zip
"SNVMix/URL 0",SNVMix,"Source code","8 April 2010 18:29:18",http://compbio.bccrc.ca/?page_id=204
"SNVer/URL 0",SNVer,Homepage,"5 August 2011 19:16:55",http://snver.sourceforge.net/
"SOAP/URL 0",SOAP,Homepage,"21 September 2009 10:00:59",http://soap.genomics.org.cn/
"SOAPdenovo/URL 0",SOAPdenovo,Homepage,"18 December 2009 03:42:04",http://soap.genomics.org.cn/soapdenovo.html
"SOAPfusion/URL 0",SOAPfusion,Homepage,"28 October 2013 08:23:51",http://soap.genomics.org.cn/SOAPfusion.html
"SOAPsnp/URL 0",SOAPsnp,Homepage,"18 December 2009 19:13:11",http://soap.genomics.org.cn/soapsnp.html
"SOCS/URL 0",SOCS,Homepage,"5 April 2012 18:04:02",http://socs.sourceforge.net
"SOLID software tools/URL 0","SOLID software tools",Homepage,"20 September 2011 20:32:36",http://solidsoftwaretools.com
"SOLID software tools/URL 1","SOLID software tools",Manual,"20 September 2011 20:36:29",http://solidsoftwaretools.com/gf/project/
"SOPRA/URL 0",SOPRA,"Source code","13 July 2010 13:43:01",http://www.physics.rutgers.edu/%7Eanirvans/SOPRA/
"SPLINTER/URL 0",SPLINTER,Homepage,"3 November 2010 14:55:26",http://www.ibridgenetwork.org/wustl/splinter
"SPP/URL 0",SPP,Description,"3 February 2010 04:24:19",http://compbio.med.harvard.edu/Supplements/ChIP-seq/
"SR-ASM/URL 0",SR-ASM,"Source code","17 December 2009 02:26:42",http://bio.cs.put.poznan.pl/index.php/research/36-current-research/54-dna-assembly-algorithm-for-short-read-sequencing
"SRAdb/URL 0",SRAdb,Homepage,"8 July 2010 14:30:53",http://www.bioconductor.org/packages/2.6/bioc/html/SRAdb.html
"SRF/URL 0",SRF,Description,"25 May 2010 13:12:20",http://srf.sourceforge.net/
"SRF/URL 1",SRF,Description,"25 May 2010 13:14:06",http://www.politigenomics.com/2008/06/whats-in-an-srf.html
"SRF/URL 2",SRF,"Mailing list","25 May 2010 13:14:42",http://www.bcgsc.ca/mailman/listinfo/ssrformat
"SRF/URL 3",SRF,"Source code","25 May 2010 13:15:43",http://sourceforge.net/projects/srf/
"SRMA/URL 0",SRMA,Homepage,"12 October 2010 09:05:22",http://srma.sourceforge.net
"SSA/URL 0",SSA,Homepage,"17 November 2011 11:13:53",http://ccg.vital-it.ch/ssa/
"SSAHA/URL 0",SSAHA,Homepage,"4 October 2011 08:24:01",http://www.sanger.ac.uk/resources/software/ssaha/
"SSAHA/URL 1",SSAHA,Homepage,"4 October 2011 08:18:40",http://www.sanger.ac.uk/resources/software/ssaha2/
"SSAKE/URL 0",SSAKE,Homepage,"21 September 2009 09:20:01",http://www.bcgsc.ca/platform/bioinfo/software/ssake
"SSPACE/URL 0",SSPACE,Homepage,"5 November 2011 17:19:46",http://www.baseclear.com/bioinformatics-tools/
"STADEN/URL 0",STADEN,"Source code","25 October 2009 22:30:03",https://sourceforge.net/projects/staden/files/
"STADEN/URL 1",STADEN,Homepage,"25 October 2009 22:34:44",http://staden.sourceforge.net/
"STAR/URL 0",STAR,Homepage,"16 February 2013 22:35:06",http://code.google.com/p/rna-star/
"SUDS genome browser/URL 0","SUDS genome browser",Homepage,"21 September 2009 11:24:02",http://www.cs.helsinki.fi/group/suds/cst/
"SUTTA/URL 0",SUTTA,Homepage,"16 September 2011 07:41:10",http://bioinformatics.nyu.edu/wordpress/projects/sutta/
"SVDetect/URL 0",SVDetect,"Source code","30 July 2010 19:20:46",http://svdetect.sourceforge.net/
"SVMerge/URL 0",SVMerge,"Source code","3 January 2011 04:20:25",http://svmerge.sourceforge.net
"SWAP454/URL 0",SWAP454,Homepage,"28 December 2009 21:19:05",http://www.broadinstitute.org/science/programs/genome-biology/computational-rd/computational-research-and-development
"SWT/URL 0",SWT,Homepage,"3 September 2009 19:56:38",http://genome.wustl.edu/tools/cancer-genomics
"SXOligoSearch/URL 0",SXOligoSearch,Homepage,"21 September 2009 10:12:13",http://synasite.mgrc.com.my:8080/sxog/NewSXOligoSearch.php
"Samscope/URL 0",Samscope,Homepage,"14 February 2012 15:21:10",http://samscope.dna.bio.keio.ac.jp/
"Samscope/URL 1",Samscope,Manual,"14 February 2012 15:21:34",http://samscope.dna.bio.keio.ac.jp/help/samscope.html
"Samscope/URL 2",Samscope,Binaries,"14 February 2012 15:22:08",http://samscope.dna.bio.keio.ac.jp/wiki/index.php/Installing_Binaries
"Samscope/URL 3",Samscope,"Source code","14 February 2012 15:23:29",http://samscope.dna.bio.keio.ac.jp/wiki/index.php/Source_code
"Savant Genome Browser/URL 0","Savant Genome Browser",Homepage,"28 May 2010 00:44:28",http://compbio.cs.toronto.edu/savant/
"ScaffViz/URL 0",ScaffViz,Manual,"24 April 2015 10:18:42",https://code.google.com/p/scaffold-viewer/wiki/ScaffViz
"Scaffolder/URL 0",Scaffolder,Homepage,"21 September 2011 11:50:29",http://next.gs/
"Scaffolder/URL 1",Scaffolder,"Mailing list","21 September 2011 11:51:00",http://groups.google.com/group/scaffolder
"Scaffolder/URL 2",Scaffolder,"Source code","21 September 2011 11:52:44",https://github.com/scaffolder/scaffolder-tools
"Scheibye-Alsing 2009/URL 0","Scheibye-Alsing 2009",Description,"31 May 2010 20:52:58",http://genome.ku.dk/resources/assembly/methods.html
"Scripture/URL 0",Scripture,Homepage,"3 May 2010 15:49:42",http://www.broadinstitute.org/software/scripture/
"Segemehl/URL 0",Segemehl,Homepage,"14 September 2009 17:12:10",http://www.bioinf.uni-leipzig.de/Software/segemehl/
"Segtor/URL 0",Segtor,Homepage,"3 December 2015 17:16:24",http://lbbc.inca.gov.br/segtor/
"Seq2HLA/URL 1",Seq2HLA,Homepage,"19 February 2013 08:50:46",http://tron-mainz.de/tron-facilities/computational-medicine/seq2hla/
"Seq2HLA/URL 2",Seq2HLA,"Source code","19 February 2013 08:51:15",http://tron-mainz.de/tron-facilities/computational-medicine/seq2hla/
"Seq2HLA/URL 3",Seq2HLA,Description,"19 February 2013 08:52:36",http://blogs.biomedcentral.com/bmcblog/2013/01/03/reverting-to-type/
"SeqAn/URL 0",SeqAn,"Mailing list","18 January 2011 18:42:30",https://lists.fu-berlin.de/listinfo/seqan-dev
"SeqAn/URL 1",SeqAn,Homepage,"18 January 2011 18:42:52",http://www.seqan.de
"SeqAn/URL 2",SeqAn,,"18 January 2011 18:50:15",
"SeqAn/URL 3",SeqAn,,"18 January 2011 18:50:05",
"SeqAn/URL 4",SeqAn,,"18 January 2011 18:50:29",
"SeqAn/URL 5",SeqAn,"Source code","18 January 2011 18:58:47",http://svn.mi.fu-berlin.de/seqan/trunk/seqan/
"SeqBuster/URL 0",SeqBuster,Homepage,"27 December 2010 10:59:10",http://estivill_lab.crg.es/seqbuster/
"SeqCons/URL 0",SeqCons,Homepage,"21 January 2010 14:45:24",http://www.seqan.de/projects/seqcons.html
"SeqEM/URL 0",SeqEM,"Source code","13 September 2011 21:42:35",http://hihg.med.miami.edu/software-download/seqem-version-1.0
"SeqGSEA/URL 0",SeqGSEA,Homepage,"9 May 2013 04:49:36",http://bioconductor.org/packages/devel/bioc/html/SeqGSEA.html
"SeqMINER/URL 0",SeqMINER,Homepage,"16 August 2010 13:05:18",http://bips.u-strasbg.fr/seqminer/tiki-index.php
"SeqMan NGen/URL 0","SeqMan NGen",Homepage,"12 January 2015 14:38:40",http://www.dnastar.com/t-nextgen-seqman-ngen.aspx
"SeqMap/URL 0",SeqMap,Homepage,"21 September 2009 09:53:39",http://biogibbs.stanford.edu/%7Ejiangh/SeqMap/
"SeqMonk/URL 0",SeqMonk,Homepage,"3 September 2009 19:46:03",http://www.bioinformatics.bbsrc.ac.uk/projects/seqmonk/
"SeqMonk/URL 1",SeqMonk,HOWTO,"29 November 2010 14:40:11",http://www.youtube.com/user/BabrahamBioinf
"SeqPrep/URL 0",SeqPrep,Homepage,"13 March 2011 06:59:35",https://github.com/jstjohn/SeqPrep
"SeqSaw/URL 0",SeqSaw,Homepage,"23 January 2013 02:57:28",http://bioinfo.au.tsinghua.edu.cn/software/seqsaw/
"SeqSaw/URL 1",SeqSaw,"Source code","23 January 2013 02:58:09",http://sourceforge.net/projects/seqsaw/files/
"SeqSaw/URL 2",SeqSaw,HOWTO,"23 January 2013 03:49:38",http://bioinfo.au.tsinghua.edu.cn/software/seqsaw/examples.html
"SeqSeg/URL 0",SeqSeg,Homepage,"28 December 2009 21:03:55",http://www.broadinstitute.org/cgi-bin/cancer/publications/pub_paper.cgi?mode=view&paper_id=182
"SeqSite/URL 0",SeqSite,Homepage,"23 January 2013 02:25:42",http://bioinfo.au.tsinghua.edu.cn/software/seqsite/
"SeqSolve/URL 0",SeqSolve,Homepage,"20 October 2011 15:33:12",http://www.integromics.com/ngs
"SeqSphere /URL 0",SeqSphere,Homepage,"29 December 2014 16:54:54",http://www.ridom.de/seqsphere/
"SeqTrim/URL 0",SeqTrim,Homepage,"6 August 2010 20:02:58",http://www.scbi.uma.es/cgi-bin/seqtrim/seqtrim_login.cgi
"SeqTrim/URL 1",SeqTrim,"Publication full text","6 August 2010 20:00:49",http://www.biomedcentral.com/1471-2105/11/38
"SeqTrim/URL 2",SeqTrim,Homepage,"24 March 2015 01:14:35",http://seqanswers.com/wiki/SeqTrim
"SeqWare/URL 0",SeqWare,Homepage,"15 September 2011 13:08:02",http://sourceforge.net/apps/mediawiki/seqware
"SeqWords/URL 0",SeqWords,Homepage,"5 December 2009 13:59:06",http://doc.bioperl.org/releases/bioperl-current/bioperl-live/Bio/Tools/SeqWords.html
"Sequedex/URL 0",Sequedex,Homepage,"23 October 2012 15:19:45",http://sequedex.lanl.gov
"SequenceVariantAnalyzer/URL 0",SequenceVariantAnalyzer,Homepage,"1 March 2010 16:56:24",http://www.svaproject.org/
"Sequencher/URL 0",Sequencher,Homepage,"5 September 2011 11:44:25",http://genecodes.com/
"Sff2fastq/URL 0",Sff2fastq,"Source code","5 October 2010 10:45:39",http://github.com/indraniel/sff2fastq
"Sff2fastq/URL 1",Sff2fastq,Description,"5 October 2010 10:46:05",http://indraniel.wordpress.com/2010/04/23/sff2fastq/
"ShoRAH/URL 0",ShoRAH,Homepage,"30 July 2010 17:40:00",http://www.bsse.ethz.ch/cbg/software/shorah
"Shore/URL 0",Shore,Homepage,"21 September 2009 09:55:55",http://1001genomes.org/downloads/shore.html
"Shore/URL 1",Shore,"Source code","7 September 2011 08:29:38",http://sourceforge.net/projects/shore/files/
"Shore/URL 2",Shore,Manual,"7 September 2011 08:30:00",http://sourceforge.net/apps/mediawiki/shore/index.php?title=SHORE_Documentation
"ShortFuse/URL 0",ShortFuse,Homepage,"15 November 2012 10:41:47",https://bitbucket.org/mckinsel/shortfuse
"SiLoCo/URL 0",SiLoCo,Homepage,"14 February 2012 12:35:20",http://srna-workbench.cmp.uea.ac.uk
"SiLoCo/URL 1",SiLoCo,Manual,"14 February 2012 12:35:52",http://srna-workbench.cmp.uea.ac.uk/tools/siloco/
"Sibelia/URL 0",Sibelia,Homepage,"4 February 2013 01:19:40",http://bioinf.spbau.ru/sibelia
"Sibelia/URL 1",Sibelia,"Source code","4 February 2013 01:20:37",http://sourceforge.net/projects/sibelia-bio/files/
"Sibelia/URL 2",Sibelia,Binaries,"4 February 2013 01:21:31",http://sourceforge.net/projects/sibelia-bio/files/
"Sim4cc/URL 0",Sim4cc,Homepage,"8 September 2009 19:26:56",http://www.cbcb.umd.edu/software/sim4cc/.
"SimNext/URL 0",SimNext,Homepage,"21 September 2009 08:13:12",http://evolution.sysu.edu.cn/english/software/simnext.htm
"SimSeq/URL 0",SimSeq,Homepage,"6 March 2011 08:32:50",https://github.com/jstjohn/SimSeq
Sissrs/Homepage,Sissrs,,"12 August 2009 22:06:17",http://sissrs.rajajothi.com/
Sissrs/Homepage-2,Sissrs,,"12 August 2009 22:14:13",http://dir.nhlbi.nih.gov/papers/lmi/epigenomes/sissrs/
"Skewer/URL 0",Skewer,Binaries,"30 December 2013 16:03:11",http://sourceforge.net/projects/skewer/files/Binaries/
"SlideSort/URL 0",SlideSort,Homepage,"3 January 2011 19:01:19",http://www.cbrc.jp/%7Eshimizu/slidesort/
"Slider/URL 0",Slider,Homepage,"21 September 2009 10:00:25",http://www.bcgsc.ca/platform/bioinfo/software/slider
"SmashCommunity/URL 0",SmashCommunity,Homepage,"25 October 2010 14:00:32",http://www.bork.embl.de/software/smash
"Sniper/URL 0",Sniper,Homepage,"14 September 2011 16:04:38",http://kim.bio.upenn.edu/software/sniper.shtml
"Solas/URL 0",Solas,Homepage,"12 February 2010 19:47:51",http://cmb.molgen.mpg.de/2ndGenerationSequencing/Solas/
"Sole-Search/URL 0",Sole-Search,Homepage,"14 September 2010 13:42:19",http://havoc.genomecenter.ucdavis.edu/cgi-bin/chipseq.cgi
"SolexaQA/URL 0",SolexaQA,"Source code","26 October 2010 20:26:01",http://solexaqa.sourceforge.net/
"SolexaTools/URL 0",SolexaTools,Homepage,"21 September 2009 11:21:17",http://solexatools.sourceforge.net
"SolexaTools/URL 1",SolexaTools,Related,"15 September 2011 13:01:49",http://www.slideshare.net/bosc_2008/o-connor-solexa-tools-bosc2008
"SomaticCall/URL 0",SomaticCall,"Source code","28 December 2009 21:22:12",ftp://ftp.broadinstitute.org/pub/crd/SomaticCall/
"Spiral Genetics/URL 0","Spiral Genetics",Homepage,"8 July 2011 17:46:41",http://www.spiralgenetics.com
"Spiral Genetics/URL 1","Spiral Genetics","White Paper","11 July 2014 21:29:45",http://www.spiralgenetics.com/science/white-papers/
"SpliceGrapher/URL 0",SpliceGrapher,Homepage,"4 December 2012 06:41:44",http://splicegrapher.sourceforge.net/
"SpliceMap/URL 0",SpliceMap,Homepage,"11 February 2011 08:40:48",http://www.stanford.edu/group/wonglab/SpliceMap/
"SplicePlot/URL 0",SplicePlot,Homepage,"14 July 2014 16:02:46",http://montgomerylab.stanford.edu/spliceplot/index.html
"SpliceTrap/URL 0",SpliceTrap,Homepage,"26 May 2011 15:55:33",http://rulai.cshl.edu/splicetrap/
"SpliceTrap/URL 1",SpliceTrap,Manual,"26 May 2011 15:56:35",http://rulai.cshl.edu/splicetrap/doc/
"SpliceTrap/URL 2",SpliceTrap,"Source code","21 June 2013 19:24:22",https://sourceforge.net/projects/splicetrap/files/?source=navbar
"SplicingViewer/URL 0",SplicingViewer,Homepage,"20 September 2010 03:02:12",http://bioinformatics.zj.cn/splicingviewer/
"SplitSeek/URL 0",SplitSeek,Homepage,"14 June 2010 18:58:51",http://solidsoftwaretools.com/gf/project/splitseek/
"SsahaSNP/URL 0",SsahaSNP,Homepage,"9 June 2010 10:03:10",http://www.sanger.ac.uk/resources/software/ssahasnp/
"Stampy/URL 0",Stampy,Homepage,"7 December 2010 19:05:09",http://www.well.ox.ac.uk/project-stampy
"Standalone hamming/URL 0","Standalone hamming","Source code","8 September 2009 14:55:14",http://www.nature.com/nmeth/journal/v5/n3/extref/nmeth.1184-S2.pdf
"Standalone hamming/URL 1","Standalone hamming",HOWTO,"8 September 2009 14:56:21",http://www.nature.com/nmeth/journal/v5/n3/extref/nmeth.1184-S1.pdf
"Standardized Velvet Assembly Report/URL 0","Standardized Velvet Assembly Report","Source code","31 August 2011 13:57:06",http://code.google.com/p/standardized-velvet-assembly-report/
"Strelka/URL 0",Strelka,Homepage,"24 May 2013 23:25:31",https://sites.google.com/site/strelkasomaticvariantcaller/
"Strelka/URL 1",Strelka,Homepage,"24 May 2013 23:26:44",https://sites.google.com/site/strelkasomaticvariantcaller/
"Subjunc/URL 0",Subjunc,Homepage,"23 April 2013 12:19:25",http://subread.sourceforge.net
"Subjunc/URL 1",Subjunc,Homepage,"23 April 2013 12:21:24",http://subread.sourceforge.net
"Subread/URL 0",Subread,,"23 April 2013 11:37:24",http://subread.sourceforge.net
"SuccinctAssembly/URL 0",SuccinctAssembly,Homepage,"20 January 2011 15:24:40",http://www.genomics.csse.unimelb.edu.au/succinctAssembly
"Supersplat/URL 0",Supersplat,Homepage,"26 April 2010 18:04:17",http://supersplat.cgrb.oregonstate.edu/
"SwDMR/URL 1",SwDMR,"Source code","8 September 2012 15:33:36",http://122.228.158.106/swDMR
"SwDMR/URL 3",SwDMR,Homepage,"29 December 2012 09:39:47",http://code.google.com/p/swdmr/
"Swalign/URL 0",Swalign,Homepage,"7 November 2011 06:54:44",http://code.google.com/p/swalign/
"Swift/URL 0",Swift,Homepage,"15 September 2011 13:21:35",http://sgenomics.org/swift/
"Syapse/URL 0",Syapse,Homepage,"21 November 2012 16:37:54",http://www.Syapse.com
"Syzygy/URL 0",Syzygy,Manual,"6 April 2011 16:47:18",http://www.broadinstitute.org/software/syzygy
"T-lex/URL 0",T-lex,Homepage,"19 September 2011 15:40:15",http://petrov.stanford.edu/cgi-bin/Tlex_manual.html
"TAPyR/URL 0",TAPyR,Homepage,"5 December 2011 15:22:59",http://www.tapyr.net
"TASR/URL 0",TASR,Homepage,"5 September 2011 11:29:51",http://www.bcgsc.ca/platform/bioinfo/software/tasr
"TMAP/URL 0",TMAP,"Source code","9 September 2011 14:02:16",http://ioncommunity.iontorrent.com/docs/DOC-1842
"TOTALRECALLER/URL 0",TOTALRECALLER,Homepage,"14 September 2011 15:42:39",http://bioinformatics.nyu.edu/wordpress/projects/totalrecaller/
"Ta-si prediction/URL 0","Ta-si prediction",Homepage,"14 February 2012 12:40:25",http://srna-workbench.cmp.uea.ac.uk
"Ta-si prediction/URL 1","Ta-si prediction",Manual,"14 February 2012 12:41:04",http://srna-workbench.cmp.uea.ac.uk/tools/ta-si-prediction/
"Tablet/URL 0",Tablet,Homepage,"18 July 2014 12:44:26",http://ics.hutton.ac.uk/tablet/
"Tablet/URL 1",Tablet,"Publication full text","16 December 2009 12:37:39",http://bioinformatics.oxfordjournals.org/cgi/content/abstract/btp666
"TagCleaner/URL 0",TagCleaner,"Analysis server","20 October 2011 17:14:57",http://edwards.sdsu.edu/tagcleaner
"TagCleaner/URL 1",TagCleaner,Homepage,"7 September 2011 07:56:43",http://tagcleaner.sourceforge.net/index.html
"TagDust/URL 0",TagDust,Homepage,"9 September 2009 13:13:54",http://genome.gsc.riken.jp/osc/english/software/
"Tally/URL 0",Tally,Manual,"12 November 2012 11:27:39",http://www.ebi.ac.uk/%7Estijn/reaper/tally.html
"Tally/URL 1",Tally,"Source code","12 November 2012 11:28:44",http://www.ebi.ac.uk/%7Estijn/reaper/src/
"Tally/URL 2",Tally,"Source code","12 November 2012 11:30:00",http://www.ebi.ac.uk/%7Estijn/reaper/src/
"Tally/URL 3",Tally,"Source code","12 November 2012 11:31:14",http://www.ebi.ac.uk/%7Estijn/reaper/src/
"Tallymer/URL 0",Tallymer,Homepage,"4 December 2009 16:20:43",http://www.zbh.uni-hamburg.de/tallymer/
"Tallymer/URL 1",Tallymer,Manual,"4 December 2009 16:21:19",http://www.zbh.uni-hamburg.de/tallymer/tallymer.pdf
"TiMat2/URL 0",TiMat2,Homepage,"15 September 2011 08:12:18",http://timat2.sourceforge.net/
"TiMat2/URL 1",TiMat2,"Source code","15 September 2011 08:12:45",http://sourceforge.net/projects/timat2/
